name,n_pubs,n_clusters,precision,recall,f1
hongbin_liang,183,5,0.99698,0.99818,0.99758
j_yu,265,26,0.49624,0.53029,0.51270
s_yu,61,9,0.80465,0.87374,0.83777
he_ping_li,234,5,0.67787,0.30406,0.41981
song_chen,598,28,0.47109,0.32019,0.38125
jia_xu,609,25,0.76974,0.21447,0.33547
lixin_tang,195,3,0.50062,0.88708,0.64004
guotong_du,220,1,1.00000,1.00000,1.00000
chih_ming_lin,162,9,0.69678,0.28494,0.40448
wensheng_yang,276,3,0.96796,0.97697,0.97244
fosong_wang,356,1,1.00000,1.00000,1.00000
guorong_chen,335,5,0.94303,0.54934,0.69426
bo_ai,225,4,0.94799,0.76083,0.84416
yongjian_tang,198,1,1.00000,1.00000,1.00000
qi_hu,173,13,0.86639,0.62176,0.72397
ping_fu,287,10,0.93983,0.82374,0.87796
geng_yang,292,6,0.98136,0.98738,0.98436
li_zhu_wu,224,2,0.93892,0.99079,0.96416
da_xing,596,3,0.55687,0.37348,0.44710
jian_guo_he,185,4,0.91775,0.79634,0.85275
xiaobing_luo,196,3,0.97381,0.90927,0.94044
yang_shen,485,30,0.74082,0.52068,0.61154
lan_sun,181,6,0.78608,0.53506,0.63672
jian_du,162,15,0.65841,0.57659,0.61479
jianhua_lu,361,5,0.82621,0.70064,0.75826
jing_luo,469,28,0.56808,0.48539,0.52349
zhigang_zeng,235,5,0.98866,0.87870,0.93044
jian_feng,465,19,0.92483,0.95791,0.94108
hua_fu,415,12,0.84007,0.74602,0.79025
mei_xu,98,11,0.79346,0.77756,0.78543
ruijin_liao,236,2,0.91038,0.99113,0.94904
yu_ming_wang,227,10,0.73147,0.50704,0.59892
bo_hong,321,13,0.80121,0.82316,0.81204
weiming_zhu,160,5,0.87496,0.93482,0.90390
xu_xu,555,28,0.70828,0.59011,0.64382
rong_yu,273,9,0.89168,0.43370,0.58356
yong_tian,262,16,0.71912,0.52207,0.60495
lu_han,366,24,0.46772,0.27900,0.34951
lin_huang,553,31,0.78212,0.52140,0.62569
kexin_xu,203,3,0.91230,0.94060,0.92623
wei_quan,174,7,0.48059,0.37374,0.42049
tao_deng,306,15,0.86248,0.44413,0.58633
hongbin_li,286,15,0.62187,0.82319,0.70851
hua_bai,351,11,0.64548,0.32384,0.43130
mei_ling_chen,161,10,0.66975,0.42522,0.52018
yanqing_wang,107,9,0.68839,0.75455,0.71995
xu_dong_zhang,224,6,0.68479,0.34567,0.45943
qiang_shi,241,17,0.54005,0.42047,0.47282
min_zheng,523,28,0.60980,0.19676,0.29752
yue_tian,127,5,0.90775,0.69404,0.78664
jian_shao,162,7,0.93415,0.64151,0.76065
tian_chen,180,14,0.79366,0.72244,0.75638
yan_yan_li,103,7,0.69883,0.68156,0.69009
xue_qin,224,5,0.85994,0.53716,0.66126
ming_shi,262,9,0.86890,0.27696,0.42003
chunyan_liu,222,6,0.41215,0.33178,0.36763
shuai_yuan,310,16,0.65401,0.46635,0.54446
wen_chang_chen,301,3,0.99922,0.95857,0.97848
minghui_li,173,8,0.62381,0.37521,0.46858
kwok_fai_so,229,2,0.92970,0.98825,0.95808
yin_shi,169,3,0.98505,0.99622,0.99060
rong_lu,205,16,0.73684,0.81892,0.77571
s_lin,71,9,0.93291,0.93891,0.93590
shengkai_gong,238,1,1.00000,1.00000,1.00000
yong_qing_huang,196,4,0.54527,0.47190,0.50594
jie_jiang,558,28,0.54181,0.53982,0.54081
xiao_ning_zhang,186,8,0.88143,0.64792,0.74685
chun_hung_lin,217,5,0.56287,0.31804,0.40643
xiao_juan_li,100,9,0.69522,0.43550,0.53553
fei_sun,357,21,0.58183,0.34250,0.43118
yongqing_huang,352,2,0.96630,0.99422,0.98006
zhifeng_liu,340,10,0.68834,0.43053,0.52974
su_zeng,253,2,0.95566,0.50487,0.66070
lei_song,700,34,0.62481,0.56448,0.59311
mian_chen,185,2,0.98855,0.99926,0.99388
fuchu_he,274,1,1.00000,1.00000,1.00000
shuang_song,154,8,0.87079,0.80603,0.83716
hongtao_liu,328,11,0.57937,0.14893,0.23694
c_y_huang,203,24,0.54333,0.69362,0.60935
s_c_wu,208,14,0.74653,0.63736,0.68764
wei_jun_zhang,200,3,0.49673,0.44606,0.47003
jiamo_fu,364,2,0.97338,0.53985,0.69452
hong_fan,366,16,0.77641,0.67996,0.72499
h_xie,105,13,0.68048,0.82947,0.74763
dan_sun,204,16,0.81331,0.83789,0.82542
shui_wang,305,9,0.58699,0.66026,0.62147
feng_teng,228,2,0.93782,0.49899,0.65139
j_h_lin,189,12,0.87997,0.96785,0.92182
lili_ma,133,5,0.84993,0.47309,0.60784
yongqing_li,150,6,0.70569,0.34125,0.46004
yin_wu,179,6,0.86052,0.57544,0.68968
junling_wang,157,8,0.66924,0.42392,0.51906
jian_ping_wang,399,19,0.52232,0.10838,0.17951
ping_sun,524,30,0.59803,0.63560,0.61625
jianqiang_yi,226,3,0.46964,0.74426,0.57589
philip_kam_tao_li,245,3,0.89705,0.69509,0.78326
dandan_zhang,162,15,0.67641,0.49964,0.57474
yun_zhou,607,23,0.68919,0.31777,0.43498
weiwei_li,259,14,0.43343,0.30306,0.35671
xi_huang,269,11,0.80263,0.71914,0.75860
average,,,0.76605,0.63292,0.69315
